,storm_id,season,init_lat,init_lon,init_dist2land,PDI_max_wmo,PDI_max_usa,PDI_max_tokyo,Pres_min_wmo,r34_max_wmo,r50_max_wmo,r64_max_wmo,storm_speed_max_wmo,lon_weighted,lat_weighted,lon_variance,lat_variance,latlon_covariance,DayofYear_mean
0,0,1851,26.1,-90.40001,335.0,230400000.0,230400000.0,,,,,,10.0,-95.97718811035156,28.10941696166992,10.513896236829977,1.7906104954286874,-4.143782033714767,176.2972972972973
1,1,1851,19.0,-84.6,299.0,,,,,,,,8.0,-92.17880249023438,20.875581741333008,19.520314457493825,1.2527947106760844,-4.938732914946855,182.5609756097561
2,2,1851,22.2,-97.6,20.0,,,,,,,,,,,,,,186.0
3,3,1851,12.0,-60.0,181.0,,,,,,,,,,,,,,191.0
4,4,1851,13.5,-39.0,1699.0,,,,,,,,10.0,-51.0000114440918,15.181336402893066,51.04167596844203,1.1128625311768146,-7.526477909178371,216.0612244897959
5,5,1851,13.366668,-47.2,1093.0,450000000.0,450000000.0,,,,,,42.0,-71.30528259277344,27.337032318115234,159.50990525719516,113.4453310217856,-1.327558584881093,233.6969696969697
6,6,1851,26.999998,-80.0,9.0,,,,,,,,7.0,-77.48258209228516,30.3628044128418,2.624168443857671,4.836871297642711,3.435849991767564,243.56140350877192
7,7,1851,20.0,-82.0,177.0,,,,,,,,12.0,-80.27689361572266,23.1149959564209,1.507885191895184,4.643587865964277,2.6446609146159976,250.05882352941177
8,8,1851,34.2,-44.2,1572.0,,,,,,,,17.0,-39.55588150024414,40.442195892333984,8.86537768181227,14.886538019663025,11.479418147508282,254.1578947368421
9,9,1851,25.500002,-95.50001,169.0,,,,,,,,4.0,-96.58287811279295,26.891069412231445,0.431876142609751,0.3675311059666127,-0.2991221640441232,257.1714285714286
10,10,1851,32.5,-73.5,370.0,56250000.0,56250000.0,,,,,,0.0,-73.5,32.5,0.0,0.0,0.0,257.4516129032258
11,11,1851,31.500002,-62.499996,1291.0,,,,,,,,14.0,-63.74216079711914,31.92210578918457,4.098143980674811,6.720510777843566,-3.061794522863583,264.561797752809
12,12,1851,23.7,-61.6,723.0,,,,,,,,50.0,-66.66902160644531,31.79824447631836,12.924322007118906,48.07579683887165,-9.080264429835498,284.5609756097561
13,13,1851,28.7,-78.0,244.0,97200000.0,97200000.0,,,,,,18.0,-74.92914581298828,33.42744445800781,4.623665522924443,14.761514237374914,7.975833729978792,290.4516129032258
14,14,1851,19.1,-77.6,78.0,,,,,,,,20.0,-65.6353759765625,23.270191192626957,264.7174395308037,20.293994822759775,66.39322804112685,315.5619834710744
15,15,1852,20.633331,-67.333336,243.0,450000000.0,450000000.0,,961.0,,,,25.0,-79.82998657226562,27.812145233154297,49.93321313483959,29.701518746465293,-3.9279397173677055,237.06741573033707
16,16,1852,33.6,-82.5,0.0,,,,,,,,20.0,-73.62474060058594,38.53181457519531,27.10207088065796,12.004151801223856,17.80342742678551,242.44444444444449
17,17,1852,14.0,-51.2,964.0,154350000.0,154350000.0,,,,,,44.0,-68.41111755371094,26.0489444732666,259.8525504808185,45.99134758557511,21.58772246786964,253.55963302752292
18,18,1852,32.0,-42.5,1862.0,,,,,,,,19.0,-37.63426208496094,37.22752380371094,41.40779341990117,13.224633638063512,22.734428431001525,248.0606060606061
19,19,1852,17.0,-64.1,208.0,154350000.0,154350000.0,,,,,,17.0,-68.13935089111328,18.418811798095703,7.831458082838383,0.8626785765607824,-2.5891155765556118,249.46666666666667
20,20,1852,13.0,-50.6,887.0,230400000.0,230400000.0,,,,,,48.0,-63.56627655029297,25.274974822998047,84.47744883986633,79.20233643795225,10.889295684412737,270.8205128205128
21,21,1852,16.8,-86.1,102.0,,,,,,,,4.0,-87.50917053222656,17.57975959777832,0.7598604381092758,0.2604548675843294,-0.4443753199110299,266.2857142857143
22,22,1852,19.9,-65.1,175.0,,,,,,,,12.0,-67.9907455444336,22.64034652709961,3.21632991557614,8.204716949284062,-4.32624136899047,270.7142857142857
23,23,1852,15.000001,-31.9,1548.0,,,,,,,,55.0,-35.971248626708984,26.10765266418457,7.127695586812114,53.113840123315526,6.191454452783694,274.4366197183099
24,24,1852,11.0,-65.5,70.0,,,,,,,,11.0,-74.8773193359375,13.340397834777832,32.17266944902936,0.8805093275801937,-4.577964245373914,274.5609756097561
25,25,1852,13.999999,-67.0,348.0,328049984.0,328049984.0,,,,,,35.0,-76.01937103271484,24.783315658569336,80.17338003227262,84.88322997117298,27.503586280073563,281.68
26,26,1852,23.5,-86.2,217.0,,,,,,,,37.0,-81.57369995117188,26.478466033935547,15.392231900285246,2.3742543434875696,5.41918807980507,331.38461538461536
