PDI_max_wmo,PDI_max_usa
230400000.0,230400000.0
,
,
,
,
450000000.0,450000000.0
,
,
,
,
56250000.0,56250000.0
,
,
97200000.0,97200000.0
,
450000000.0,450000000.0
,
154350000.0,154350000.0
,
154350000.0,154350000.0
230400000.0,230400000.0
,
,
,
,
328049984.0,328049984.0
,
,
,
,
,
,
,
988649984.0,988649984.0
,
,
450000000.0,450000000.0
328049984.0,328049984.0
,
,
,
154350000.0,154350000.0
,
,
328049984.0,328049984.0
,
154350000.0,154350000.0
,
,
591733760.0,591733760.0
,
,
,
328049984.0,328049984.0
,
,
97200000.0,97200000.0
,
,
,
,
328049984.0,328049984.0
,
97200000.0,97200000.0
,
598950016.0,598950016.0
,
,
,
988649984.0,988649984.0
,
154350000.0,154350000.0
53571432.0,53571432.0
450000000.0,450000000.0
,
,
154350000.0,154350000.0
,
,
,
,
,
56250000.0,56250000.0
,
,
,
328049984.0,328049984.0
,
,
154350000.0,154350000.0
322085440.0,322085440.0
,
,
,
,
,
,
,
321355104.0,321355104.0
,
230400000.0,230400000.0
,
230400000.0,230400000.0
,
328049984.0,328049984.0
,
,
,
,
328049984.0,328049984.0
,
,
154350000.0,154350000.0
328049984.0,328049984.0
154350000.0,154350000.0
,
598950016.0,598950016.0
,
,
92084208.0,92084208.0
230400000.0,230400000.0
,
,
590010432.0,590010432.0
,
,
,
328049984.0,328049984.0
,
,
323556160.0,323556160.0
,
,
,
97200000.0,97200000.0
,
323676000.0,323676000.0
328049984.0,328049984.0
328049984.0,328049984.0
,
,
,
230400000.0,230400000.0
328049984.0,328049984.0
,
,
,
,
140318176.0,140318176.0
,
,
97200000.0,97200000.0
,
,
,
134217392.0,134217392.0
,
56250000.0,56250000.0
,
,
328049984.0,328049984.0
,
,
328049984.0,328049984.0
,
,
,
154350000.0,154350000.0
97200000.0,97200000.0
,
,
328049984.0,328049984.0
,
328049984.0,328049984.0
328049984.0,328049984.0
328049984.0,328049984.0
154350000.0,154350000.0
,
93600000.0,93600000.0
56250000.0,56250000.0
97200000.0,97200000.0
56250000.0,56250000.0
,
154350000.0,154350000.0
,
,
,
154350000.0,154350000.0
,
,
,
56250000.0,56250000.0
,
,
154350000.0,154350000.0
,
,
97200000.0,97200000.0
,
328049984.0,328049984.0
,
,
,
,
,
,
,
321070208.0,321070208.0
,
,
